36031,Black Breath,United States,Active,2006,Death/Thrash Metal/Crossover/Crust,Slaves Beyond Death,2015,0.78
36896,Strapping Young Lad,Canada,Split-up,1994,Death/Thrash Metal with Industrial Influences,Alien,2005,0.79
36896,Strapping Young Lad,Canada,Split-up,1994,Death/Thrash Metal with Industrial Influences,Alien,2005,0.94
36896,Strapping Young Lad,Canada,Split-up,1994,Death/Thrash Metal with Industrial Influences,Alien,2005,0.95
36896,Strapping Young Lad,Canada,Split-up,1994,Death/Thrash Metal with Industrial Influences,Alien,2005,0.65
36896,Strapping Young Lad,Canada,Split-up,1994,Death/Thrash Metal with Industrial Influences,Alien,2005,1.0
36896,Strapping Young Lad,Canada,Split-up,1994,Death/Thrash Metal with Industrial Influences,Alien,2005,0.9
36896,Strapping Young Lad,Canada,Split-up,1994,Death/Thrash Metal with Industrial Influences,The New Black,2006,0.93
36896,Strapping Young Lad,Canada,Split-up,1994,Death/Thrash Metal with Industrial Influences,The New Black,2006,0.88
36896,Strapping Young Lad,Canada,Split-up,1994,Death/Thrash Metal with Industrial Influences,The New Black,2006,0.75
36896,Strapping Young Lad,Canada,Split-up,1994,Death/Thrash Metal with Industrial Influences,The New Black,2006,0.86
36896,Strapping Young Lad,Canada,Split-up,1994,Death/Thrash Metal with Industrial Influences,The New Black,2006,0.7
36896,Strapping Young Lad,Canada,Split-up,1994,Death/Thrash Metal with Industrial Influences,The New Black,2006,0.9
36896,Strapping Young Lad,Canada,Split-up,1994,Death/Thrash Metal with Industrial Influences,The New Black,2006,0.83
36896,Strapping Young Lad,Canada,Split-up,1994,Death/Thrash Metal with Industrial Influences,The New Black,2006,0.85
36896,Strapping Young Lad,Canada,Split-up,1994,Death/Thrash Metal with Industrial Influences,The New Black,2006,0.85
36896,Strapping Young Lad,Canada,Split-up,1994,Death/Thrash Metal with Industrial Influences,The New Black,2006,1.0
36914,Tellus Terror,Brazil,Active,2012,Death Metal/Deathcore with Various Influences,EZ Life DV8,2014,0.75
36929,The Breathing Process,United States,Active,2003,Metalcore (early)| Symphonic Blackened Death Metal (later),In Waking: Divinity,2007,0.9
36929,The Breathing Process,United States,Active,2003,Metalcore (early)| Symphonic Blackened Death Metal (later),In Waking: Divinity,2007,0.68
36929,The Breathing Process,United States,Active,2003,Metalcore (early)| Symphonic Blackened Death Metal (later),Odyssey (Un)Dead,2010,0.98
36929,The Breathing Process,United States,Active,2003,Metalcore (early)| Symphonic Blackened Death Metal (later),Odyssey (Un)Dead,2010,0.3
36933,The Disciples of Zoldon,New Zealand,Unknown,2005,Doom/Death Metal/Grindcore,War on Peace and Happiness,2005,0.7
36935,The End of Six Thousand Years,Italy,Active,2004,Atmospheric Sludge/Melodic Death Metal/Metalcore,Perpetuum,2012,0.85
36941,The Makai,United States,On hold,2003,Melodic Death/Thrash Metal/Hardcore,Embracing the Shroud of a Blackened Sky,2010,1.0
36959,Thorazine,Canada,Split-up,1996,Thrash/Death Metal/Grindcore,Geneticide,2002,0.96
36959,Thorazine,Canada,Split-up,1996,Thrash/Death Metal/Grindcore,The Day the Ash Blacked Out the Sun,2004,0.95
36959,Thorazine,Canada,Split-up,1996,Thrash/Death Metal/Grindcore,The Day the Ash Blacked Out the Sun,2004,0.8
36961,Thou Shalt Suffer,Norway,Unknown,1991,Death Metal (early)| Neoclassical/Ambient (later),Somnium,2000,0.77
36961,Thou Shalt Suffer,Norway,Unknown,1991,Death Metal (early)| Neoclassical/Ambient (later),Somnium,2000,0.8
36973,Trashcanned,Austria,Split-up,2003,Melodic Death/Thrash Metal/Metalcore,Key to the Paradox,2010,0.3
36980,Trepan'Dead,France,Active,1998,Brutal Death Metal/Grindcore with Hardcore Influences,Obsessional Dysfunctions,2006,0.82
36983,Trigger the Bloodshed,United Kingdom,Active,2006,Technical Deathcore (early)| Technical Death Metal (later),Purgation,2008,0.76
36983,Trigger the Bloodshed,United Kingdom,Active,2006,Technical Deathcore (early)| Technical Death Metal (later),Purgation,2008,0.75
36983,Trigger the Bloodshed,United Kingdom,Active,2006,Technical Deathcore (early)| Technical Death Metal (later),Purgation,2008,0.5
36983,Trigger the Bloodshed,United Kingdom,Active,2006,Technical Deathcore (early)| Technical Death Metal (later),Purgation,2008,0.86
36983,Trigger the Bloodshed,United Kingdom,Active,2006,Technical Deathcore (early)| Technical Death Metal (later),Purgation,2008,0.62
36983,Trigger the Bloodshed,United Kingdom,Active,2006,Technical Deathcore (early)| Technical Death Metal (later),The Great Depression,2009,0.9
36983,Trigger the Bloodshed,United Kingdom,Active,2006,Technical Deathcore (early)| Technical Death Metal (later),The Great Depression,2009,0.7
36983,Trigger the Bloodshed,United Kingdom,Active,2006,Technical Deathcore (early)| Technical Death Metal (later),The Great Depression,2009,0.57
36983,Trigger the Bloodshed,United Kingdom,Active,2006,Technical Deathcore (early)| Technical Death Metal (later),Degenerate,2010,0.9
36983,Trigger the Bloodshed,United Kingdom,Active,2006,Technical Deathcore (early)| Technical Death Metal (later),Degenerate,2010,0.92
36983,Trigger the Bloodshed,United Kingdom,Active,2006,Technical Deathcore (early)| Technical Death Metal (later),Degenerate,2010,0.9
36991,Ultra Vomit,France,Active,1999,Death Metal/Grindcore (early)| Various (later),Objectif: Thunes,2008,0.93
36998,Undying Inc.,India,Active,2004,Thrash/Death Metal/Metalcore,Aggressive World Dynasty,2010,0.95
36998,Undying Inc.,India,Active,2004,Thrash/Death Metal/Metalcore,Aggressive World Dynasty,2010,0.75
37007,V:28,Norway,Split-up,2002,Atmospheric Black/Death Metal with Electronic Influences,NonAnthropogenic,2003,0.84
37007,V:28,Norway,Split-up,2002,Atmospheric Black/Death Metal with Electronic Influences,SoulSaviour,2005,0.96
37007,V:28,Norway,Split-up,2002,Atmospheric Black/Death Metal with Electronic Influences,VioLution,2007,0.73
37007,V:28,Norway,Split-up,2002,Atmospheric Black/Death Metal with Electronic Influences,VioLution,2007,0.55
37009,Varg,Germany,Active,2005,Melodic Death/Black Metal/Metalcore,Wolfszeit,2007,0.95
37009,Varg,Germany,Active,2005,Melodic Death/Black Metal/Metalcore,Wolfszeit,2007,0.9
37009,Varg,Germany,Active,2005,Melodic Death/Black Metal/Metalcore,Blutaar,2010,0.5
37009,Varg,Germany,Active,2005,Melodic Death/Black Metal/Metalcore,Wolfskult,2011,0.48
37009,Varg,Germany,Active,2005,Melodic Death/Black Metal/Metalcore,Guten Tag,2012,0.2
37009,Varg,Germany,Active,2005,Melodic Death/Black Metal/Metalcore,Guten Tag,2012,0.7
37009,Varg,Germany,Active,2005,Melodic Death/Black Metal/Metalcore,Guten Tag,2012,0.69
37009,Varg,Germany,Active,2005,Melodic Death/Black Metal/Metalcore,Guten Tag,2012,0.86
37017,Virulence,United States,Split-up,1998,Death Metal/Grindcore with Jazz influences,A Conflict Scenario,2001,1.0
37017,Virulence,United States,Split-up,1998,Death Metal/Grindcore with Jazz influences,A Conflict Scenario,2001,0.9
37018,Visionaire,United States,Changed name,1996,Ambient/Gothic Death/Doom Metal,Within the Arcanum Hall,2000,0.8
37036,Wayd,Slovakia,Active,1994,Experimental/Technical Death Metal with Jazz influences,Decadance,2003,0.84
37036,Wayd,Slovakia,Active,1994,Experimental/Technical Death Metal with Jazz influences,Decadance,2003,1.0
37041,Whispered,Finland,Active,2004,Melodic Death/Power Metal with Eastern Folk influences,Thousand Swords,2010,0.7
37041,Whispered,Finland,Active,2004,Melodic Death/Power Metal with Eastern Folk influences,Thousand Swords,2010,0.65
37041,Whispered,Finland,Active,2004,Melodic Death/Power Metal with Eastern Folk influences,Thousand Swords,2010,0.8
37041,Whispered,Finland,Active,2004,Melodic Death/Power Metal with Eastern Folk influences,Shogunate Macabre,2014,0.67
37041,Whispered,Finland,Active,2004,Melodic Death/Power Metal with Eastern Folk influences,Shogunate Macabre,2014,0.96
37041,Whispered,Finland,Active,2004,Melodic Death/Power Metal with Eastern Folk influences,Shogunate Macabre,2014,0.93
37041,Whispered,Finland,Active,2004,Melodic Death/Power Metal with Eastern Folk influences,Shogunate Macabre,2014,0.87
37041,Whispered,Finland,Active,2004,Melodic Death/Power Metal with Eastern Folk influences,Shogunate Macabre,2014,0.8
37041,Whispered,Finland,Active,2004,Melodic Death/Power Metal with Eastern Folk influences,Shogunate Macabre,2014,0.8
37041,Whispered,Finland,Active,2004,Melodic Death/Power Metal with Eastern Folk influences,Shogunate Macabre,2014,0.89
37041,Whispered,Finland,Active,2004,Melodic Death/Power Metal with Eastern Folk influences,Metsutan - Songs of the Void,2016,0.98
37041,Whispered,Finland,Active,2004,Melodic Death/Power Metal with Eastern Folk influences,Metsutan - Songs of the Void,2016,0.8
37041,Whispered,Finland,Active,2004,Melodic Death/Power Metal with Eastern Folk influences,Metsutan - Songs of the Void,2016,0.95
37044,Whourkr,France,Split-up,2005,Experimental Death Metal/Grindcore with Electronic influences,Naät,2007,0.2
37044,Whourkr,France,Split-up,2005,Experimental Death Metal/Grindcore with Electronic influences,Naät,2007,0.91
37044,Whourkr,France,Split-up,2005,Experimental Death Metal/Grindcore with Electronic influences,Naät,2007,0.91
37044,Whourkr,France,Split-up,2005,Experimental Death Metal/Grindcore with Electronic influences,Naät,2007,0.67
37044,Whourkr,France,Split-up,2005,Experimental Death Metal/Grindcore with Electronic influences,Naät,2007,0.5
37044,Whourkr,France,Split-up,2005,Experimental Death Metal/Grindcore with Electronic influences,Concrete,2008,0.5
37044,Whourkr,France,Split-up,2005,Experimental Death Metal/Grindcore with Electronic influences,Concrete,2008,0.85
37044,Whourkr,France,Split-up,2005,Experimental Death Metal/Grindcore with Electronic influences,Concrete,2008,0.8
37044,Whourkr,France,Split-up,2005,Experimental Death Metal/Grindcore with Electronic influences,Concrete,2008,0.92
37044,Whourkr,France,Split-up,2005,Experimental Death Metal/Grindcore with Electronic influences,4247 Snare Drums,2012,0.96
37044,Whourkr,France,Split-up,2005,Experimental Death Metal/Grindcore with Electronic influences,4247 Snare Drums,2012,0.98
37055,Xeper,United States,Active,2001,Doom/Sludge/Melodic Black/Death Metal,Discourses on Anything So Absolute,2006,0.82
37055,Xeper,United States,Active,2001,Doom/Sludge/Melodic Black/Death Metal,Discourses on Anything So Absolute,2006,0.84
37065,Øscillatör,United States,On hold,2011,Technical/Progressive Death Metal/Deathcore,Experiment XIII,2011,0.71
37065,Øscillatör,United States,On hold,2011,Technical/Progressive Death Metal/Deathcore,Experiment XIII,2011,0.0
37077,Святогор,Ukraine,Active,1999,Death/Black Metal with Folk Influences,...with Wolfish Stalk and by Wings of Black,2005,0.61
37077,Святогор,Ukraine,Active,1999,Death/Black Metal with Folk Influences,...with Wolfish Stalk and by Wings of Black,2005,0.75
37077,Святогор,Ukraine,Active,1999,Death/Black Metal with Folk Influences,Energy - Freedom: Force Is Strong Power Is Imperious,2009,0.6
37077,Святогор,Ukraine,Active,1999,Death/Black Metal with Folk Influences,Doctor Veritas,2012,0.9
37077,Святогор,Ukraine,Active,1999,Death/Black Metal with Folk Influences,Doctor Veritas,2012,0.4
37080,نار جهنم,Bahrain,Active,2004,Black/Death Metal with Middle Eastern Influences,عندما تظهر الشمس من الغرب,2007,0.88
37080,نار جهنم,Bahrain,Active,2004,Black/Death Metal with Middle Eastern Influences,عندما تظهر الشمس من الغرب,2007,0.88
37080,نار جهنم,Bahrain,Active,2004,Black/Death Metal with Middle Eastern Influences,عندما تظهر الشمس من الغرب,2007,1.0
37081,郁,China,Active,2001,Melodic Death/Power Metal| Metalcore,Journey of Sadness,2012,0.65
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,祖靈之流 / Where the Ancestors' Souls Gathered,1999,0.7
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,靈魄之界,2000,0.89
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,靈魄之界,2000,0.95
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,永劫輪迴 / Relentless Recurrence,2002,0.8
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,賽德克巴萊,2005,1.0
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,賽德克巴萊,2005,0.88
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,賽德克巴萊,2005,0.8
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,賽德克巴萊,2005,0.95
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,賽德克巴萊,2005,0.9
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,賽德克巴萊,2005,0.96
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,十殿,2009,0.96
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,十殿,2009,0.9
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,十殿,2009,0.95
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,十殿,2009,0.94
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,高砂軍,2011,0.52
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,高砂軍,2011,0.77
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,高砂軍,2011,1.0
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,高砂軍,2011,0.55
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,高砂軍,2011,0.85
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,高砂軍,2011,0.7
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,武徳 / Bú-Tik,2013,0.78
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,武徳 / Bú-Tik,2013,0.62
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,武徳 / Bú-Tik,2013,0.98
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,武徳 / Bú-Tik,2013,0.89
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,武徳 / Bú-Tik,2013,0.97
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,武徳 / Bú-Tik,2013,0.95
37082,閃靈,Taiwan,Active,1995,Melodic Black/Death Metal with Eastern Folk Influences,失竊千年 / Timeless Sentence,2014,0.99
37083,颠覆M,China,Active,2000,Melodic Death Metal/Metalcore with Folk influences,蒙古精神 / Spirit of Mongolia,2008,0.9
37083,颠覆M,China,Active,2000,Melodic Death Metal/Metalcore with Folk influences,蒙古精神 / Spirit of Mongolia,2008,0.75
37084,Disharmonic Orchestra,Austria,Active,1987,Death Metal/Grindcore (1987-90)| Progressive Death/Avant-garde Metal (1992-),Expositionsprophylaxe,1990,0.95
37084,Disharmonic Orchestra,Austria,Active,1987,Death Metal/Grindcore (1987-90)| Progressive Death/Avant-garde Metal (1992-),Not to Be Undimensional Conscious,1992,0.9
37084,Disharmonic Orchestra,Austria,Active,1987,Death Metal/Grindcore (1987-90)| Progressive Death/Avant-garde Metal (1992-),Not to Be Undimensional Conscious,1992,0.9
37084,Disharmonic Orchestra,Austria,Active,1987,Death Metal/Grindcore (1987-90)| Progressive Death/Avant-garde Metal (1992-),Pleasuredome,1994,0.89
37084,Disharmonic Orchestra,Austria,Active,1987,Death Metal/Grindcore (1987-90)| Progressive Death/Avant-garde Metal (1992-),Ahead,2002,0.85
37086,Kartikeya,Russia,Active,2004,Death/Black Metal with Folk Influences (early) Groove/Death Metal with Folk Influences (Later),The Battle Begins,2007,0.92
37086,Kartikeya,Russia,Active,2004,Death/Black Metal with Folk Influences (early) Groove/Death Metal with Folk Influences (Later),The Battle Begins,2007,0.65
37086,Kartikeya,Russia,Active,2004,Death/Black Metal with Folk Influences (early) Groove/Death Metal with Folk Influences (Later),Mahayuga,2011,0.95
37086,Kartikeya,Russia,Active,2004,Death/Black Metal with Folk Influences (early) Groove/Death Metal with Folk Influences (Later),Mahayuga,2011,0.57
37086,Kartikeya,Russia,Active,2004,Death/Black Metal with Folk Influences (early) Groove/Death Metal with Folk Influences (Later),Mahayuga,2011,0.95
37089,Rudra,Singapore,Active,1992,Thrash/Death Metal (early)| Death/Black Metal with Folk Influences (later),Rudra,1998,0.8
37089,Rudra,Singapore,Active,1992,Thrash/Death Metal (early)| Death/Black Metal with Folk Influences (later),Rudra,1998,0.74
37089,Rudra,Singapore,Active,1992,Thrash/Death Metal (early)| Death/Black Metal with Folk Influences (later),The Aryan Crusade,2001,1.0
37089,Rudra,Singapore,Active,1992,Thrash/Death Metal (early)| Death/Black Metal with Folk Influences (later),Kurukshetra,2003,1.0
37089,Rudra,Singapore,Active,1992,Thrash/Death Metal (early)| Death/Black Metal with Folk Influences (later),Brahmavidya: Primordial I,2005,0.9
37089,Rudra,Singapore,Active,1992,Thrash/Death Metal (early)| Death/Black Metal with Folk Influences (later),Brahmavidya: Primordial I,2005,0.84
37089,Rudra,Singapore,Active,1992,Thrash/Death Metal (early)| Death/Black Metal with Folk Influences (later),Brahmavidya: Primordial I,2005,0.94
37089,Rudra,Singapore,Active,1992,Thrash/Death Metal (early)| Death/Black Metal with Folk Influences (later),Brahmavidya: Primordial I,2005,0.95
37089,Rudra,Singapore,Active,1992,Thrash/Death Metal (early)| Death/Black Metal with Folk Influences (later),Brahmavidya: Primordial I,2005,0.99
37089,Rudra,Singapore,Active,1992,Thrash/Death Metal (early)| Death/Black Metal with Folk Influences (later),Brahmavidya: Transcendental I,2009,0.96
37089,Rudra,Singapore,Active,1992,Thrash/Death Metal (early)| Death/Black Metal with Folk Influences (later),Brahmavidya: Transcendental I,2009,0.9
37089,Rudra,Singapore,Active,1992,Thrash/Death Metal (early)| Death/Black Metal with Folk Influences (later),Brahmavidya: Transcendental I,2009,0.9
37089,Rudra,Singapore,Active,1992,Thrash/Death Metal (early)| Death/Black Metal with Folk Influences (later),Brahmavidya: Transcendental I,2009,0.9
37089,Rudra,Singapore,Active,1992,Thrash/Death Metal (early)| Death/Black Metal with Folk Influences (later),Brahmavidya: Transcendental I,2009,0.9
37089,Rudra,Singapore,Active,1992,Thrash/Death Metal (early)| Death/Black Metal with Folk Influences (later),Brahmavidya: Transcendental I,2009,0.95
37089,Rudra,Singapore,Active,1992,Thrash/Death Metal (early)| Death/Black Metal with Folk Influences (later),Brahmavidya: Immortal I,2011,0.98
37089,Rudra,Singapore,Active,1992,Thrash/Death Metal (early)| Death/Black Metal with Folk Influences (later),Brahmavidya: Immortal I,2011,0.93
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,0.63
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,0.5
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,0.93
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,0.85
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,0.79
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,0.3
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,0.5
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,0.94
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,0.88
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,0.82
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,0.9
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,0.8
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,1.0
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,1.0
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,0.4
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,0.82
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,0.75
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Reek of Putrefaction,1988,0.8
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Symphonies of Sickness,1989,1.0
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Symphonies of Sickness,1989,0.97
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Symphonies of Sickness,1989,0.82
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Symphonies of Sickness,1989,0.9
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Symphonies of Sickness,1989,1.0
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Symphonies of Sickness,1989,1.0
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Symphonies of Sickness,1989,0.84
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Symphonies of Sickness,1989,0.93
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Symphonies of Sickness,1989,1.0
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Symphonies of Sickness,1989,0.99
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Symphonies of Sickness,1989,1.0
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Symphonies of Sickness,1989,0.96
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Symphonies of Sickness,1989,0.94
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Symphonies of Sickness,1989,0.8
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Symphonies of Sickness,1989,0.95
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Symphonies of Sickness,1989,0.95
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Necroticism - Descanting the Insalubrious,1991,0.9
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Necroticism - Descanting the Insalubrious,1991,0.95
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Necroticism - Descanting the Insalubrious,1991,0.99
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Necroticism - Descanting the Insalubrious,1991,0.98
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Necroticism - Descanting the Insalubrious,1991,0.98
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Necroticism - Descanting the Insalubrious,1991,0.9
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Necroticism - Descanting the Insalubrious,1991,0.94
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Necroticism - Descanting the Insalubrious,1991,1.0
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Necroticism - Descanting the Insalubrious,1991,0.98
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Necroticism - Descanting the Insalubrious,1991,0.95
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Necroticism - Descanting the Insalubrious,1991,0.65
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Necroticism - Descanting the Insalubrious,1991,0.9
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Necroticism - Descanting the Insalubrious,1991,0.95
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Necroticism - Descanting the Insalubrious,1991,0.95
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Necroticism - Descanting the Insalubrious,1991,0.88
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Heartwork,1993,0.89
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Heartwork,1993,0.79
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Heartwork,1993,0.68
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Heartwork,1993,0.88
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Heartwork,1993,0.5
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Heartwork,1993,0.88
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Heartwork,1993,0.89
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Heartwork,1993,0.93
37090,Carcass,United Kingdom,Active,1986,Goregrind/Grindcore (early)| Melodic Death Metal/Death 'n' Roll (later),Heartwork,1993,0.6
